mechanism,support,t,direction,direct_atoms,formula_atoms,exact_equal
binary_asymmetric,2,1,remove,2,2,True
binary_asymmetric,2,1,add,2,2,True
binary_asymmetric,2,2,remove,3,3,True
binary_asymmetric,2,2,add,3,3,True
binary_asymmetric,2,3,remove,4,4,True
binary_asymmetric,2,3,add,4,4,True
binary_asymmetric,2,4,remove,5,5,True
binary_asymmetric,2,4,add,5,5,True
binary_asymmetric,2,5,remove,6,6,True
binary_asymmetric,2,5,add,6,6,True
binary_strong,2,1,remove,2,2,True
binary_strong,2,1,add,2,2,True
binary_strong,2,2,remove,3,3,True
binary_strong,2,2,add,3,3,True
binary_strong,2,3,remove,4,4,True
binary_strong,2,3,add,4,4,True
binary_strong,2,4,remove,5,5,True
binary_strong,2,4,add,5,5,True
binary_strong,2,5,remove,6,6,True
binary_strong,2,5,add,6,6,True
ternary,3,1,remove,3,3,True
ternary,3,1,add,3,3,True
ternary,3,2,remove,6,6,True
ternary,3,2,add,6,6,True
ternary,3,3,remove,10,10,True
ternary,3,3,add,10,10,True
ternary,3,4,remove,15,15,True
ternary,3,4,add,15,15,True
ternary,3,5,remove,20,20,True
ternary,3,5,add,20,20,True
