t,alpha,beta,exact_checked,stage_log_grid_step,expected_convolution_calls,observed_convolution_calls,input_bins,output_bins,primitive_pair_products,runtime_seconds,validity_max_violation,tightness_max_violation,valid,alpha_beta_tight,exact_mass,upper_mass,thresholds_checked
3,0.3,0.0,True,0.15,2,2,15,15,450,0.0003215829929104075,0.0,1.1102230246251565e-16,True,True,1.0,1.0,81
5,0.2,1e-08,True,0.06666666666666667,3,3,33,32,3169,0.0010968340066028759,1.3877787807814457e-17,0.0,True,True,0.9999999999999999,1.0,222
8,0.15,1e-08,True,0.049999999999999996,3,3,43,39,5547,0.0005151250079507008,1.1102230246251565e-16,0.0,True,True,1.0,1.0,572
12,0.1,1e-08,True,0.025,4,4,85,67,27889,0.0011725000076694414,1.6263032587282567e-19,0.0,True,True,0.9999999999999999,1.0,1511
8,0.2,1e-08,False,0.06666666666666667,3,3,33,29,3137,0.0008049579919315875,,,,,,1.0,0
16,0.2,1e-08,False,0.05,4,4,43,30,7068,0.0007317499985219911,,,,,,1.0,0
32,0.2,1e-08,False,0.04,5,5,53,27,12272,0.000993790992652066,,,,,,1.0,0
64,0.2,1e-08,False,0.03333333333333333,6,6,64,23,19117,0.0009967919904738665,,,,,,1.0,0
128,0.2,1e-08,False,0.028571428571428574,7,7,74,20,27313,0.001338749993010424,,,,,,1.0,0
256,0.2,1e-08,False,0.025,8,8,85,16,36096,0.0018426659953547642,,,,,,1.0,0
64,0.4,1e-08,False,0.06666666666666667,6,6,33,12,4946,0.001851084001827985,,,,,,1.0,0
64,0.2,1e-08,False,0.03333333333333333,6,6,64,23,19117,0.0022104999952716753,,,,,,1.0,0
64,0.1,1e-08,False,0.016666666666666666,6,6,126,47,76777,0.003164249996189028,,,,,,1.0,0
64,0.05,1e-08,False,0.008333333333333333,6,6,251,93,304929,0.020450583004276268,,,,,,1.0,0
21,0.15,0.0,False,0.024999999999999998,6,6,85,84,42589,0.0020846249972237274,,,,,,1.0,0
21,0.15,1e-08,False,0.024999999999999998,6,6,85,53,39601,0.002776833003736101,,,,,,1.0,0
21,0.15,1e-05,False,0.024999999999999998,6,6,85,42,37082,0.0011335000017425045,,,,,,1.0,0
