batch_size,B,pld_epsilon,rdp_epsilon,source_run_id,source_commit_sha,source_line,n,d,communication_C,epochs,delta,global_sigma,q,rounds,t,k,reference_rdp_epsilon,reference_rdp_abs_error,rdp_optimal_order,rdp_remove_alpha2,rdp_alpha2_closed_form,rdp_alpha2_abs_error,relative_improvement,max_grid_mult,reference_rdp_matches_rounded_log
512,4,0.799236,1.04692,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=4: PLD eps=0.799236, RDP eps=1.04692",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,262144,8192,1.0469201328810338,1.3288103373199078e-07,12,1.0424506622803165,1.0424506622795375,7.789324740770098e-13,0.23658350208229867,1000000,True
512,8,0.679053,1.04734,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=8: PLD eps=0.679053, RDP eps=1.04734",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,131072,4096,1.0473446266738862,4.626673886232169e-06,12,1.044506540569273,1.0445065405691443,1.2878587085651816e-13,0.35164034601943966,1000000,True
512,16,0.603623,1.04823,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=16: PLD eps=0.603623, RDP eps=1.04823",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,65536,2048,1.0482277249079233,2.2750920767311555e-06,12,1.0486340007737454,1.0486340007738462,1.0080825063596421e-13,0.42415023420432535,1000000,True
512,32,0.572023,1.05018,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=32: PLD eps=0.572023, RDP eps=1.05018",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,32768,1024,1.0501773032118076,2.6967881923134485e-06,12,1.0569521266961601,1.0569521266966189,4.587441537751147e-13,0.45530956597916544,1000000,True
512,64,0.553294,1.0555,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=64: PLD eps=0.553294, RDP eps=1.0555",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,16384,512,1.0555022508779297,2.2508779295993264e-06,12,1.0738443564500812,1.073844356449883,1.9828583219805296e-13,0.47579914732354345,1000000,True
512,128,0.56441,1.09446,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=128: PLD eps=0.56441, RDP eps=1.09446",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,8192,256,1.0944559277543817,4.0722456182695765e-06,12,1.1086784214842282,1.1086784214841539,7.438494264988549e-14,0.48430276117902893,1000000,True
512,256,0.603402,1.18609,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=256: PLD eps=0.603402, RDP eps=1.18609",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,4096,128,1.1860929528685624,2.952868562333677e-06,11,1.1827577591393492,1.182757759139365,1.5765166949677223e-14,0.49126794762623416,1000000,True
512,512,0.706706,1.46981,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=512: PLD eps=0.706706, RDP eps=1.46981",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,2048,64,1.4698135038198992,3.503819899108862e-06,9,1.350381127447804,1.3503811274478188,1.4876988529977098e-14,0.5191854729522865,1000000,True
512,1024,1.28122,2.95114,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=1024: PLD eps=1.28122, RDP eps=2.95114",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,1024,32,2.9511427001655783,2.7001655782399325e-06,5,1.7799166107099325,1.7799166107099242,8.215650382226158e-15,0.5658559065310355,1000000,True
512,2048,5.40296,8.32301,776a4d76-c031-4399-b8d8-0bb532876a7e,f72e5377e6dcfea862c3d9ea50f78a85886cfdee,"PREAMBLE batch=512 B=2048: PLD eps=5.40296, RDP eps=8.32301",600000,1048576,32768,10,1e-06,1.0,0.0008533333333333333,11720,512,16,8.323013440004738,3.4400047379534726e-06,3,3.169672830953587,3.1696728309535933,6.217248937900877e-15,0.3508406213617429,1000000,True
