mechanism,lambda,direction,exact_equal,support_ok,pld_realization_expectation,realization_ok
binary_asymmetric,1/10,remove,True,True,1,True
binary_asymmetric,1/10,add,True,True,1,True
binary_asymmetric,1/3,remove,True,True,1,True
binary_asymmetric,1/3,add,True,True,1,True
binary_asymmetric,3/4,remove,True,True,1,True
binary_asymmetric,3/4,add,True,True,1,True
binary_asymmetric,1,remove,True,True,1,True
binary_asymmetric,1,add,True,True,1,True
binary_strong,1/10,remove,True,True,1,True
binary_strong,1/10,add,True,True,1,True
binary_strong,1/3,remove,True,True,1,True
binary_strong,1/3,add,True,True,1,True
binary_strong,3/4,remove,True,True,1,True
binary_strong,3/4,add,True,True,1,True
binary_strong,1,remove,True,True,1,True
binary_strong,1,add,True,True,1,True
ternary,1/10,remove,True,True,1,True
ternary,1/10,add,True,True,1,True
ternary,1/3,remove,True,True,1,True
ternary,1/3,add,True,True,1,True
ternary,3/4,remove,True,True,1,True
ternary,3/4,add,True,True,1,True
ternary,1,remove,True,True,1,True
ternary,1,add,True,True,1,True
