panel,epsilon,dimension,sample_size,allocation_mse_exact,poisson_mse_exact,allocation_better_exact,allocation_mse_mc,allocation_mc_se,poisson_mse_mc,poisson_mc_se,mc_matches_exact,mc_allocation_better
0,1.0,1,100,0.08009950275869633,0.08942695002078511,True,,,,,,
0,1.0,1,316,0.008216181577341004,0.011095127986378897,True,,,,,,
0,1.0,1,1000,0.0008819950275869634,0.0017844595002078512,True,0.0008761503479223046,1.2880131601201321e-05,0.0018010663447636272,2.531568083036377e-05,True,True
0,1.0,1,3162,0.00010767641073642166,0.0003923582681326692,True,,,,,,
0,1.0,1,10000,1.6919950275869633e-05,0.00010686359500207851,True,,,,,,
0,1.0,1,31622,3.638153719145032e-06,3.207425505931934e-05,True,,,,,,
0,1.0,1,100000,9.791995027586963e-07,9.970535950020786e-06,True,,,,,,
1,0.1,1,100,0.3489933840957149,0.38577180661989807,True,,,,,,
1,0.1,1,316,0.035144346268197686,0.04077234884432564,True,,,,,,
1,0.1,1,1000,0.0035709338409571486,0.004747908066198981,True,0.003540127173779254,5.044060092749273e-05,0.00477534048299819,6.635399578307565e-05,True,True
1,0.1,1,3162,0.0003766175181318988,0.0006887551720281063,True,,,,,,
1,0.1,1,10000,4.3809338409571484e-05,0.00013649808066198982,True,,,,,,
1,0.1,1,31622,6.32722460892104e-06,3.503784918519956e-05,True,,,,,,
1,0.1,1,100000,1.2480933840957148e-06,1.02668808066199e-05,True,,,,,,
2,0.1,1000,100,348.09428409571484,375.89069761989805,True,,,,,,
2,0.1,1000,316,34.85982095174199,37.64541561647753,True,,,,,,
2,0.1,1000,1000,3.481023840957149,3.75979716619898,True,3.5708874017418535,0.050857618558155154,3.775944874089607,0.05369957563286735,True,True
2,0.1,1000,3162,0.3481829830275345,0.3762596312311422,True,,,,,,
2,0.1,1000,10000,0.034818338409571485,0.03768699066198981,True,,,,,,
2,0.1,1000,31622,0.003483950938691453,0.0037902715493763994,True,,,,,,
2,0.1,1000,100000,0.0003489933840957149,0.000385771806619898,True,,,,,,
